1002.0991,BCD,10953,Blue compact dwarf
0809.1217,BCD,10953,Blue compact dwarf
1207.2696,BCD,10953,Blue compact dwarf
1207.3047,DLA,10991,Diffusion-limited aggregation
cond-mat/0307488,DLA,10991,Diffusion-limited aggregation
cond-mat/0307489,DLA,10991,Diffusion-limited aggregation
cond-mat/0610527,DLA,10991,Diffusion-limited aggregation
1112.4982,RW,11086,Random walk
1007.4068,RW,11086,Random walk
1205.5925,RW,11086,Random walk
nucl-th/0210063,PS,1109,Pseudoscalar
1206.3671,PS,1109,Pseudoscalar
1208.0610,MDP,11126,Minimum detectable polarization
1006.2016,PS,112,Matter power spectrum
0808.2323,PS,112,Matter power spectrum
1201.3032,SF,1146,Scalar field
1206.6708,SL,1163,Special linear group
1203.2305,SL,1163,Special linear group
0808.0377,SL,1163,Special linear group
1204.1723,SL,1163,Special linear group
1008.2055,SL,1163,Special linear group
1104.4542,SL,1163,Special linear group
1207.7116,SL,1163,Special linear group
1208.1519,SL,1163,Special linear group
1108.2409,SL,1163,Special linear group
1106.1686,SL,1163,Special linear group
1110.1362,SL,1163,Special linear group
1202.3866,SL,1163,Special linear group
1001.2071,SL,1163,Special linear group
1209.2896,SL,1163,Special linear group
1111.3792,LCS,11681,Lagrangian coherent structure
1207.1975,LCS,11681,Lagrangian coherent structure
1101.6071,LCS,11681,Lagrangian coherent structure
1202.5236,LCS,11681,Lagrangian coherent structure
astro-ph/0407386,MRI,11699,Magnetorotational instability
0808.2338,MRI,11699,Magnetorotational instability
1203.1817,MRI,11699,Magnetorotational instability
0911.0067,MRI,11699,Magnetorotational instability
0908.1791,MRI,11699,Magnetorotational instability
0802.3561,MRI,11699,Magnetorotational instability
0802.3560,MRI,11699,Magnetorotational instability
astro-ph/0610023,MRI,11699,Magnetorotational instability
astro-ph/0604486,MRI,11699,Magnetorotational instability
1207.4284,MRI,11699,Magnetorotational instability
1111.4219,MRI,11699,Magnetorotational instability
1209.1632,MRI,11699,Magnetorotational instability
1106.3528,MRI,11699,Magnetorotational instability
1208.4224,MRI,11699,Magnetorotational instability
1205.6754,MRI,11699,Magnetorotational instability
astro-ph/0307109,MRI,11699,Magnetorotational instability
1109.1981,ISW,11928,Integrated Sachs-Wolfe effect
0801.1947,MPS,11946,Matrix product states
1005.5195,MPS,11946,Matrix product states
1203.2523,MPS,11946,Matrix product states
1112.2075,MPS,11946,Matrix product states
1208.4862,MPS,11946,Matrix product states
1202.0177,MPS,11946,Matrix product states
1205.1020,MPS,11946,Matrix product states
1206.4254,MPS,11946,Matrix product states
1208.3919,MPS,11946,Matrix product states
1204.3934,MPS,11946,Matrix product states
1112.0517,MPS,11946,Matrix product states
1206.0222,MPS,11946,Matrix product states
1201.1435,MPS,11946,Matrix product states
quant-ph/0702169,MPS,11946,Matrix product states
1112.4097,MPS,11946,Matrix product states
1201.3974,MPS,11946,Matrix product states
1207.2922,HCI,11975,Human-computer interaction
1204.1277,HCI,11975,Human-computer interaction
astro-ph/9601134,MDM,11982,Mixed dark matter
astro-ph/9505029,MDM,11982,Mixed dark matter
1205.0666,ILC,12463,International Linear Collider
1208.5759,ILC,12463,International Linear Collider
1208.2018,ILC,12463,International Linear Collider
1202.5940,ILC,12463,International Linear Collider
1202.5832,ILC,12463,International Linear Collider
1203.0942,ILC,12463,International Linear Collider
1202.4955,ILC,12463,International Linear Collider
1205.3822,ILC,12463,International Linear Collider
1201.1653,ILC,12463,International Linear Collider
1207.0300,ILC,12463,International Linear Collider
1202.3017,ILC,12463,International Linear Collider
physics/0610232,ILC,12463,International Linear Collider
1205.0362,ILC,12463,International Linear Collider
1205.1777,ILC,12463,International Linear Collider
1206.3948,PS,12498,Proton Synchrotron
0809.2316,SPS,12504,Super Proton Synchrotron
physics/0206002,IBS,12533,Intrabeam Scattering
physics/0206003,IBS,12533,Intrabeam Scattering
1202.3811,IBS,12533,Intrabeam Scattering
1205.2009,SET,12646,Single electron tunneling
0807.2697,EIT,12685,Extreme ultraviolet Imaging Telescope
astro-ph/9810296,SIM,12736,Space Interferometry Mission
physics/0301026,SIM,12736,Space Interferometry Mission
0802.0505,LSS,12750,Large scale structure
1112.6025,LSS,12750,Large scale structure
astro-ph/9906301,LSS,12750,Large scale structure
astro-ph/9810175,LSS,12750,Large scale structure
1006.3795,LSS,12750,Large scale structure
0903.0384,LSS,12750,Large scale structure
1110.3598,LSS,12750,Large scale structure
astro-ph/9802109,LSS,12750,Large scale structure
1108.1985,LSS,12750,Large scale structure
astro-ph/0004272,LSS,12750,Large scale structure
astro-ph/0502465,LSS,12750,Large scale structure
1204.4241,LSS,12750,Large scale structure
1110.3045,LSS,12750,Large scale structure
astro-ph/0612305,LSS,12750,Large scale structure
1202.4275,LSS,12750,Large scale structure
0704.3288,LSS,12750,Large scale structure
1103.4607,LSS,12750,Large scale structure
1201.5919,LSS,12750,Large scale structure
1004.2684,LSS,12750,Large scale structure
1110.2101,LSS,12750,Large scale structure
